Source,SS,ddof1,ddof2,MS,F,p-unc,p-GG-corr,np2,eps
task,0.006623564012819094,1,19,0.006623564012819094,4.618114107777265,0.04473577147760012,0.04473577147760012,0.19553272063566476,1.0
modality,0.018581930217507467,1,19,0.018581930217507467,3.2384841969208042,0.08782905592359355,0.08782905592359355,0.1456252219460719,1.0
task * modality,0.0003701855840303331,1,19,0.0003701855840303331,0.35385477895694134,0.5589575507991678,0.5589575507991678,0.01828342637672783,1.0
